table_id	distance	counterfactual_hypothesis	counterfactual label	original_hypothesis	original_label	strategies	counterfactual_table_rows
T719A	0.2817771673202515	Cristiano Ronaldo is a goalkeeper more than 6 feet tall.	E	Cristiano Ronaldo is shorter than 6 feet tall.	C	001000	['Height', 'Playing position']
T719A	0.28385142038476463	Cristiano Ronaldo has always played in Europe.	N	Cristiano Ronaldo has always lived in Portugal.	N	000100	[]
T719A	0.33216119002881966	Cristiano Ronaldo plays in the Spanish La Liga and Premeire Leagu.	N	Cristiano Ronaldo plays in the Spanish La Liga.	N	000100	[]
T719B	0.13302730551199612	Cristiano Ronaldo plays an defensive position rather than offensive.	C	Cristiano Ronaldo plays an offensive position rather than defensive.	E	010000	['Playing position']
T719B	0.22080009217383656	Cristiano Ronaldo is shorter than 6 and half feet tall.	E	Cristiano Ronaldo is shorter than 6 feet tall.	C	010000	['Height']
T719B	0.26525283627491	Ronaldo stands over 6 feet tall.	E	Ronaldo stands over 6 and a half feet tall.	C	010000	['Height']
T719B	0.2774076419400573	Cristiano Ronaldo is a famous goalkeeper in his 30's.	E	Cristiano Ronaldo is a famous footballer for Juventus.	N	010000	['Playing position', 'Date of birth']
T719B	0.3346365739827214	Cristiano Ronaldo plays in the Spanish La Liga as a goalkeeper for his team.	N	Cristiano Ronaldo plays in the Spanish La Liga.	N	001000	['Playing position']
T719B	0.3531111672987289	Cristiano Ronaldo born in England has always lived there itself.	N	Cristiano Ronaldo has always lived in Portugal.	N	001000	['Place of birth']
T719B	0.5212311532351623	Cristiano Ronaldo is a British Millenial playing football.	E	Cristiano Ronaldo is a British Millenial.	C	010000	['Date of birth', 'Place of birth', 'Playing position']
T719B	0.5807908948219281	Cristiano Ronaldo born at Broadgreen is a famous footballer for Juventus .	N	Cristiano Ronaldo is a famous forward in his 30's.	E	001000	['Place of birth']
T719B	0.935266424162243	Cristiano Ronaldo is a American athlete who is famous for his attacking skills as a forward	E	Cristiano Ronaldo is a European athlete..	E	011000	['Playing position', 'Place of birth']
T1600A	0.0	K?roly Zipernowsky didn't go to school to become an engineer.	N	K?roly Zipernowsky didn't go to school to become an engineer.	C	100000	['Education', 'Occupation']
T1600A	0.0	K?roly Zipernowsky died where he was born.	E	K?roly Zipernowsky died where he was born.	C	100000	['Born', 'Died']
T1600A	0.0	K?roly Zipernowsky was born in 19th century Vienna.	C	K?roly Zipernowsky was born in 19th century Vienna.	E	100000	['Born']
T1600A	0.0	K?roly Zipernowsky was over one hundred years old when he died.	E	K?roly Zipernowsky was over one hundred years old when he died.	C	100000	['Born', 'Died']
T1600A	0.33958226224609156	K?roly Zipernowsky was the top of his class at the University of Manchester.	N	K?roly Zipernowsky was the top of his class at the Technical University of Budapest.	N	000001	['Education']
T1600A	0.6913328766822815	K?roly Zipernowsky was born as K?roly Zipernowsky in 1865.	C	K?roly Zipernowsky was born as Carl Zipernowsky in 1853.	E	010000	['Birth name' 'Born']
T1600A	0.8859149879122872	K?roly Zipernowsky studied acting at University.	N	K?roly Zipernowsky studied electrical engineering at University.	N	100000	['Occupation', 'Education']
T1600A	1.1887280158593656	K?roly Zipernowsky had changed his first name.	E	K?roly Zipernowsky was known by another name.	E	000100	['Birth name']
T1600A	1.2945174421434102	K?roly Zipernowsky's is a citizen of countries on two different continents.	E	K?roly Zipernowsky's nationality is Hungarian and Austrian.	N	000100	['Nationality']
T1600B	0.0	K?roly Zipernowsky didn't go to school to become a singer.	E	K?roly Zipernowsky didn't go to school to become an engineer.	C	100000	['Occupation', 'Education']
T1600B	0.0	K?roly Zipernowsky died where he was born.	C	K?roly Zipernowsky died where he was born.	C	100000	['Born', 'Died']
T1600B	0.0	K?roly Zipernowsky was born as Carl Zipernowsky in 1853.	C	K?roly Zipernowsky was born as Carl Zipernowsky in 1853.	E	100000	['Born']
T1600B	0.0	K?roly Zipernowsky was born in 18th century Europe.	E	K?roly Zipernowsky was born in 19th century Vienna.	E	010000	['Born']
T1600B	0.0	K?roly Zipernowsky was the top of his class at the Technical University of Budapest.	C	K?roly Zipernowsky was the top of his class at the Technical University of Budapest.	N	100000	['Education']
T1600B	0.31226723403172707	K?roly Zipernowsky studied electrical engineering at University in the France.	C	K?roly Zipernowsky studied electrical engineering at University.	N	010000	['Education', 'Engineering']
T1600B	0.8648887367713406	K?roly Zipernowsky was over half a century old when he died.	E	K?roly Zipernowsky was over one hundred years old when he died.	C	110000	['Born', 'Died']
T1600B	1.1946414756823778	K?roly Zipernowsky had changed his last name.	C	K?roly Zipernowsky was known by another name.	E	000100	['Birth name']
T1600B	1.3071436788761521	K?roly Zipernowsky's has sung many songs in English.	N	K?roly Zipernowsky's nationality is Hungarian and Austrian.	N	000010	['Occupation']
T1713A	0.0	John Cho graduated from UC Berkley in the 1990s with a PhD.	N	John Cho graduated from UC Berkley in the 1990s.	N	001000	['Alma mater']
T1713A	0.0	John Cho has been acting for just under two and a half decades.	E	John Cho has been acting for more than two and a half decades.	C	010000	['Years active']
T1713A	0.0	John Cho has been active since he was in his 20s.	E	John Cho has been active since his teens.	C	010000	['Years active', 'Born']
T1713A	0.0	John Cho has been married for over ten years.	C	John Cho has been married for over ten years.	E	100000	['Spouse(s)']
T1713A	0.0	John Cho was born in the 19th century.	C	John Cho was born in the 20th century.	E	010000	['Born']
T1713A	0.18856302391290666	John Cho was born in the winter of 1972.	C	John Cho was born in the Summer of 1972.	E	010000	['Born']
T1713A	0.4117763632637255	John Cho is married to Jose Machado Ventura  with two daughters.	N	John Cho is married with two daughters.	N	001000	['Spouse(s)']
T1713A	0.5847135194374966	The parent of both of singer-songwriter John Cho's kids is Jose Machado Ventura.	N	The mother of both of John Cho's kids is Kerri Higuchi.	N	001000	['Occupation', 'Spouse(s)']
T1713A	0.7061702394182182	John Cho went to college before he began his career.	N	John Cho began his career right out of high school, skipping college.	C	010000	['Alma mater']
T1713B	0.0	John Cho graduated from UC Berkley in the 1990s.	C	John Cho graduated from UC Berkley in the 1990s.	N	100000	['Alma mater']
T1713B	0.18856302391290666	John Cho was born in the winter of 1992.	C	John Cho was born in the Summer of 1972.	E	010000	['Born']
T1713B	0.3108436089184532	John Cho is a married man.	E	John Cho was born in the 20th century.	E	000100	['Spouse(s)']
T1713B	0.33945597070457373	John Cho was been active in his teens.	E	John Cho has been active since his teens.	C	100000	['Born', 'Years active']
T1713B	0.5734368303071843	John Cho has one child with his wife whom he married in 2006.	N	John Cho is married with two daughters.	N	001000	['Children', 'Spouse(s)']
T1713B	0.5761500759299962	John Cho began his career while in college.	E	John Cho began his career right out of high school, skipping college.	C	000100	['Alma mater', 'Years active']
T1713B	0.6479134694210529	John Cho has acted in many films.	N	John Cho has been acting for more than two and a half decades.	C	000010	['Occupation']
T1713B	0.7988957088639974	John Cho has a different Korean name.	E	John Cho has been married for over ten years.	E	000010	['Born']
T1713B	0.8933483064417549	John Cho still acts.	C	The mother of both of John Cho's kids is Kerri Higuchi.	N	000100	['Years active']
T370A	0.0	Everclear has been active for more than a quarter of a century.	C	Everclear has been active for more than a quarter of a century.	E	100000	['Years active']
T370A	0.0	Everclear's music can only be categorized into a single genre.	E	Everclear's music can only be categorized into a single genre.	C	100000	['Genres']
T370A	0.34345525301885604	Everclear, the pop artist, were signed to RCA records throughout the 1930's.	N	Everclear were signed to Capitol records throughout the 1990's.	N	001000	['Genres', 'Years active', 'Labels']
T370A	0.4829674762715625	Everclear disbanded and reunited once.	C	Everclear disbanded and reunited multiple times.	C	000001	['Years active']
T370A	0.4844575432868957	Everclear performed pop music for over ten years.	E	Everclear have been performing grunge music for over thirty years.	C	010000	['Years active', 'Genres']
T370A	0.6790419816970825	Everclear is an American band.	C	Everclear is an American rock band.	E	100000	['Origin']
T370A	0.7797684955384794	The Big Machine record label which has signed artist Everclear is located in Sheffield, South Yorkshire, England.	N	The Cleopatra record label is located in Portland, Oregon.	N	001000	['Labels', 'Origin']
T370A	1.336459417942047	Everclear are from Great Britain.	E	Everclear is made up of four members.	N	000100	['Origin']
T370A	1.373572156326443	Everclear is a music band.	N	Everclear are from the Pacific Northwest region of the United States.	E	000010	[]
T370B	0.0	Everclear disbanded and reunited multiple times.	C	Everclear disbanded and reunited multiple times.	C	000001	['Years active']
T370B	0.0	Everclear has been active for more than a quarter of a century.	C	Everclear has been active for more than a quarter of a century.	E	100000	['Years active']
T370B	0.0	Everclear were signed to Capitol records throughout the 1990's.	C	Everclear were signed to Capitol records throughout the 1990's.	N	100000	['Years active', 'Labels']
T370B	0.39375461186127664	Everclear have been performing rock music for over seven years.	N	Everclear have been performing grunge music for over thirty years.	C	010000	['Years active', 'Genres']
T370B	0.5098781285712719	Everclear is made up of multiple members.	N	Everclear is made up of four members.	N	000100	[]
T370B	0.5274632706523054	The Cleopatra record label  which has signed artist Everclear is located in Sweden.	N	The Cleopatra record label is located in Portland, Oregon.	N	000000	['Labels', 'Origin']
T370B	1.0068701102985176	Everclear's music covers multiple greatly varying genres.	E	Everclear's music can only be categorized into a single genre.	C	010000	['Genres']
T370B	1.1115089488315582	Everclear are from the northwestern Europe.	E	Everclear are from the Pacific Northwest region of the United States.	E	000100	['Origin']
T370B	1.3166295999960838	Everclear originated from a Nordic country.	E	Everclear is an American rock band.	E	000100	['Origin']
T370C	0.44996486217914866	Everclear were signed to Capitol records throughout the 1990's for all types of music they produce.	N	Everclear were signed to Capitol records throughout the 1990's.	N	000100	[]
T370C	0.49825945478666583	Everclear are from the Pacific Southwest region of the United States but performed all over States.	C	Everclear are from the Pacific Northwest region of the United States.	E	000100	['Origin']
T370C	0.6492518409801376	The Cleopatra record label is working with Everclear's music from their beginning.	N	The Cleopatra record label is located in Portland, Oregon.	N	000010	['Labels']
T370C	0.7079988776585442	Everclear have been performing grunge music and also power pop for years now,	E	Everclear have been performing grunge music for over thirty years.	C	000100	['Genres', 'Years active']
T370C	0.8311401243906616	Everclear is made up of four members each from portland oregano .	N	Everclear is made up of four members.	N	000100	[]
T370C	0.8372926601302235	Everclear is an rock band producing pop and rock music under RCA.	C	Everclear is an American rock band.	E	001000	['Genres', 'Labels']
T370C	0.8920346225823035	Everclear's music is working with many lables and produce music in more than one genres.	E	Everclear's music can only be categorized into a single genre.	C	001000	['Labels', 'Genres']
T370C	0.9401725962219206	Everclear  has been active for more than a quarter of a century but only for live concerts and have no online platform for their music.	C	Everclear has been active for more than a quarter of a century.	E	000100	['Years active']
T370C	1.2385872631503372	Everclear is ongoing even now from there start in 90s producing various types of music.	E	Everclear disbanded and reunited multiple times.	C	000100	['Years active', 'Genres']
T1444A	0.0	Kasabian has been performing for over 50 years.	C	Kasabian has been performing for over 20 years.	E	010000	['Years active']
T1444A	0.0	Kasabian has only worked with smaller independent labels.	N	Kasabian has only worked with smaller independent labels.	C	100000	['Labels']
T1444A	0.0	Kasabian is a band from the UK.	E	Kasabian is a band from the US.	C	010000	['Origin']
T1444A	0.0	Kasabian is an English rock band.	C	Kasabian is an English rock band.	E	100000	['Genres', 'Origin']
T1444A	0.0	Kasabian is known for playing jazz music.	C	Kasabian is known for playing jazz music.	C	000001	['Genres']
T1444A	0.0	Kasabian was first signed to RCA.	C	Kasabian was first signed to RCA.	N	100000	['Labels']
T1444A	0.7880940148319125	Kasabian has recorded an album with Oasis and has collaborated with multiple musicians.	N	Kasabian has recorded an album with Oasis.	N	001000	['Associated acts']
T1444A	1.1204436534905433	Kasabian performas in a wide variety of genres.	E	Kasabian has won numerous awards for their music.	N	000010	['Genres']
T1444A	1.31902526649094	Kasabian was active in the '60s.	E	Kasabian has been performing for over twenty years.	E	000010	['Years active']
T20A	0.0	Flatbush Zombies are named, in part, after the city they are from.	C	Flatbush Zombies are named, in part, after the city they are from.	E	100000	['Origin']
T20A	0.0	Flatbush Zombies are signed to RCA records.	E	Flatbush Zombies are signed to RCA records.	C	100000	['Associated acts']
T20A	0.0	Flatbush Zombies have been active as a band for over 10 years.	E	Flatbush Zombies have been active as a band for over 10 years.	C	100000	['Years active']
T20A	0.0	The rappers Flatbush Zombies are known for performing with rock bands.	E	The rappers Flatbush Zombies are known for performing with rock bands.	C	100000	['Associated acts']
T20A	0.0	The rappers Flatbush Zombies got their start on the east coast.	C	The rappers Flatbush Zombies got their start on the east coast.	E	100000	['Origin']
T20A	0.18535560575466153	Flatbush Zombies have made music for over forty years now.	C	Flatbush Zombies have made music for over five years now.	E	010000	['Years active']
T20A	0.38350482336585356	Flatbush Zombies have worked with rappers outside of New York which all are available on europetheband .com.	N	Flatbush Zombies have worked with rappers outside of New York.	N	001000	['Website']
T20A	0.5650419055489092	Flatbush Zombies preferred making K-pop and pop music with Impact Music over Wink	N	Flatbush Zombies preferred making music with RecordsWarner over The Glorious Dead.	N	001000	['Genres', 'Labels']
T20A	0.794189021106667	The rappers Flatbush Zombies have been signed by a big label and had associated acts with many popular bands like Queen.	N	The rappers Flatbush Zombies have been signed by a big label.	N	001000	['Associated acts', 'Labels']
T20B	0.0	Flatbush Zombies are signed to RecordsWarner.	E	Flatbush Zombies are signed to RCA records.	C	010000	['Labels']
T20B	0.05267072795200348	The rappers Flatbush Zombies got their start on the west coast.	C	The rappers Flatbush Zombies got their start on the east coast.	E	010000	['Origin']
T20B	0.2163892297380418	Flatbush Zombies have worked with rappers and bands outside of New York.	N	Flatbush Zombies have worked with rappers outside of New York.	N	000100	['Associated acts']
T20B	0.22891989273190497	Flatbush Zombies have made music for over two decades  now.	C	Flatbush Zombies have made music for over five years now.	E	010000	['Years active']
T20B	0.35787340783226956	Flatbush Zombies have been active as a band currently.	E	Flatbush Zombies have been active as a band for over 10 years.	C	010000	['Years active']
T20B	0.43110660018017666	The rappers Flatbush Zombies are known for performing with hip hop artists.	E	The rappers Flatbush Zombies are known for performing with rock bands.	C	010000	['Associated acts']
T20B	0.6614061675959945	Flatbush Zombies preferred making death metal music over hip hop music.	N	Flatbush Zombies preferred making music with RecordsWarner over The Glorious Dead.	N	000100	['Genres']
T20B	0.6843787934555411	Flatbush Zombies name is not related to  the city they are from.	C	Flatbush Zombies are named, in part, after the city they are from.	E	010000	['Origin']
T20B	0.9646076659876583	The rappers Flatbush Zombies have performed with many popular bands and artists from beginning of their career .	N	The rappers Flatbush Zombies have been signed by a big label.	N	000100	['Associated acts']
T20C	0.21957702535678028	The rappers Flatbush Zombies got their start on the east coast of Americas.	C	The rappers Flatbush Zombies got their start on the east coast.	E	000100	['Origin']
T20C	0.5045867003176375	Flatbush Zombies have made music for over thirty years now after getting active in 90s.	C	Flatbush Zombies have made music for over five years now.	E	001000	['Years active']
T20C	0.6772959124113261	Flatbush Zombies website http://www.hpnotiq.com/ is active for their music.	E	Flatbush Zombies have been active as a band for over 10 years.	C	000010	['Website']
T20C	0.7937684074352145	Flatbush Zombies are signed to RCA records even after being originated in Australia.	E	The rappers Flatbush Zombies have been signed by a big label.	N	000100	['Origin', 'Labels']
T20C	0.8053867054158834	Flatbush Zombies preferred making music with using auto tune and digital ways instead of just manual recording.	N	Flatbush Zombies preferred making music with RecordsWarner over The Glorious Dead.	N	000010	[]
T20C	0.904086956094432	The rappers Flatbush Zombies produces psychedelic hip hop and pop music .	E	The rappers Flatbush Zombies are known for performing with rock bands.	C	000010	['Genres']
T20C	0.9784967714396834	Flatbush Zombies have staged concerts in many places outside their origin country.	N	Flatbush Zombies have worked with rappers outside of New York.	N	000010	[]
T20C	1.0296853887697757	Flatbush Zombies's website are named, in part, after the city they are from containing pop music.	C	Flatbush Zombies are named, in part, after the city they are from.	E	000100	['Website', 'Origin', 'Genres']
T20C	1.1675202598028183	The rappers Flatbush Zombies have been maintaining all their music on their website for last 5 years.	N	Flatbush Zombies are signed to RCA records.	C	000010	['Website']
T680A	0.0	CKY is an American rock band that still performs to this day.	C	CKY is an American rock band that still performs to this day.	E	100000	['Years active']
T680A	0.0	Camp Kill Yourself has been on more labels than they have associated acts.	E	Camp Kill Yourself has been on more labels than they have associated acts.	C	100000	['Associated acts', 'Labels']
T680A	0.0	Camp Kill Yourself has been signed to Universal and Paramount.	E	Camp Kill Yourself has been signed to Universal and Paramount.	C	100000	['Labels']
T680A	0.0	Camp Kill Yourself is from West Chester, Pennsylvania.	C	Camp Kill Yourself is from West Chester, Pennsylvania.	E	100000	['Origin']
T680A	0.0	Camp Kill Yourself is grunge rock band that's been active for over 30 years in the music industry.	C	Camp Kill Yourself is grunge rock band that's been active for over 30 years in the music industry.	E	100000	['Genres', 'Years active']
T680A	0.44225354869831485	CKY has worked with many labels starting 1997 throughout its career.	E	CKY has worked with only a few labels throughout its career.	C	000100	['Labels', 'Years active']
T680A	0.5024037752983698	Camp Kill Yourself has been on the Entertainment One label since 1998 and done more than 10 associated acts with Exo since then.	N	Camp Kill Yourself has been on the Entertainment One label since 1998.	N	000100	['Associated acts']
T680A	0.5318913958068526	Camp Kill Yourself is sometimes known as Code Orange Kids so as to not offend some critics and listeners of their music and attract childrens.	N	Camp Kill Yourself is sometimes known as CKY so as to not offend some critics and listeners of their music.	N	000100	['Also known as']
T680A	0.6460459456897343	CKY has won many awards for its music and won Grammy awards for best playlist in 2010.	N	CKY has won many awards for its music.	N	000100	[]
T680B	0.2657050313423216	CKY has worked with only a many labels throughout its career.	E	CKY has worked with only a few labels throughout its career.	C	010000	['Labels']
T680B	0.44138306398367677	Camp Kill Yourself origined at Pennsylvania with name Clayton Wilbury then, has been on the Entertainment One label since 1998.	N	Camp Kill Yourself has been on the Entertainment One label since 1998.	N	001000	['Also known as', 'Years active', 'Labels', 'Origin']
T680B	0.5197731696501255	Camp Kill Yourself has been on way more associated acts than they have labels.	E	Camp Kill Yourself has been on more labels than they have associated acts.	C	010000	['Associated acts', 'Labels']
T680B	0.6073374010541288	CKY is an American rock band that stopped performing five years back.	C	CKY is an American rock band that still performs to this day.	E	010000	['Years active']
T680B	0.664840670810106	Camp Kill Yourself is a rock band from Britain.	C	Camp Kill Yourself is from West Chester, Pennsylvania.	E	010000	['Genres', 'Origin']
T680B	0.7141086157993355	Camp Kill Yourself is  rock band and also produces hip hop music.	C	Camp Kill Yourself is grunge rock band that's been active for over 30 years in the music industry.	E	010000	['Genres']
T680B	0.876061549797079	CKY has won many awards for its music starting at 1998 as best new band the year is started.	N	CKY has won many awards for its music.	N	001000	['Years active']
T680B	0.8914561077126232	Camp Kill Yourself has been signed to many labels, Roc Nation ,Entertainment One and Long Branch being few of them	E	Camp Kill Yourself has been signed to Universal and Paramount.	C	010000	['Labels']
T680B	1.1259947102655146	Camp Kill Yourself mostly produces Hard rock music, and has also started experimenting with Indie folk and skate punk few years back seeing craze for this genre.	N	Camp Kill Yourself is sometimes known as CKY so as to not offend some critics and listeners of their music.	N	000010	['Genres']
T1819A	0.0	Hugo has a running time of 126 minutes.	C	Hugo has a running time of 126 minutes.	E	100000	['Running time']
T1819A	0.0	Hugo is a multi-national film starring well-known Hollywood actors.	C	Hugo is a multi-national film starring well-known Hollywood actors.	E	100000	['Country', 'Starring']
T1819A	0.0	Hugo is based on The Invention of Hugo Cabret	C	Hugo is based on The Invention of Hugo Cabret	E	100000	['Based on']
T1819A	0.0	Hugo was a big flop	E	Hugo was a big flop	C	100000	['Box office', 'Budget']
T1819A	0.0	Hugo was originally in French.	E	Hugo was originally in French.	C	100000	['Language']
T1819A	0.2744222837048572	Hugo produced by Kevin Feige was the largest box office grossing film in November 2011.	N	Hugo was the largest box office grossing film in November 2011.	N	001000	['Produced by']
T1819A	0.33043917287209634	Hugo was criticised a lot by critics and fans alike.	N	Hugo is won praise from critics and fans alike.	N	000100	[]
T1819A	0.43122410877440115	Hugo stars a largely unknown cast who debut with this movie.	E	Hugo stars a largely unknown cast.	C	100000	['Starring']
T1819A	0.4906221782207489	Hugo is an german movie.	N	Hugo is an english movie.	N	000100	[]
T1819B	0.0	Hugo has a running time of 146 minutes.	C	Hugo has a running time of 126 minutes.	E	010000	['Running time']
T1819B	0.0	Hugo was originally in Irish.	E	Hugo was originally in French.	C	010000	['Language']
T1819B	0.18959971930769895	Hugo was not the largest box office grossing film in 1978.	N	Hugo was the largest box office grossing film in November 2011.	N	001000	['Release date']
T1819B	0.25536635146445036	Hugo is a multi-national film starring only Daniel Lee.	C	Hugo is a multi-national film starring well-known Hollywood actors.	E	010000	['Country', 'Starring']
T1819B	0.40938124452457225	Hugo was a big hit	C	Hugo was a big flop	C	010000	['Box office', 'Budget']
T1819B	0.5470092624788391	Hugo starring Raul Castro has won praise from critics and fans alike.	N	Hugo is won praise from critics and fans alike.	N	001000	['Starring']
T1819B	0.5669868537244798	Hugo stars a many known cast.	E	Hugo stars a largely unknown cast.	C	010000	['Starring']
T1819B	0.6828672294822336	Hugo is based on  Three Musketeers	C	Hugo is based on The Invention of Hugo Cabret	E	010000	['Based on']
T1819B	0.8687758762215421	Hugo is an english movie originally made in Irish .	N	Hugo is an english movie.	N	001000	['Language']
T544A	0.0	Despicable Me 3 first made its box offie run starring in the summer of 2016.	E	Despicable Me 3 first made its box offie run starring in the summer of 2016.	C	100000	['Release date']
T544A	0.0	Despicable Me 3 is a Hollywood movie.	C	Despicable Me 3 is a Hollywood movie.	E	100000	['Country']
T544A	0.0	Despicable Me 3 is an animated movie distributed by Universal Pictures in 2017.	C	Despicable Me 3 is an animated movie distributed by Universal Pictures in 2017.	E	100000	['Distributed by', 'Release date']
T544A	0.0	Despicable Me 3 was a box office disappointment.	E	Despicable Me 3 was a box office disappointment.	C	100000	['Box office', 'Budget']
T544A	0.0	Despicable Me 3 was not a box office success compared to it's original budget.	E	Despicable Me 3 was not a box office success compared to it's original budget.	C	100000	['Box office', 'Budget']
T544A	0.0	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	C	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	E	100000	['Release date']
T544A	0.14979884345304406	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, despite the 3 in the title; released in 2016 summer.	N	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, despite the 3 in the title.	N	001000	['Release date']
T544A	0.5799545279495223	Despicable Me 3 has the same cast as the first two movies of the same title and also all of them were directed by same person Kyle Balda.	N	Despicable Me 3 has the same cast as the first two movies of the same title.	N	001000	['Directed by']
T544A	0.7809521632999159	Despicable Me 3 is an animated movie starring Steve Carell and Tare Ase .	N	Despicable Me 3 is an animated movie.	N	001000	['Starring']
T544B	0.0	Despicable Me 3 first made its box offie run starring in the summer of 2017.	E	Despicable Me 3 first made its box offie run starring in the summer of 2016.	C	010000	['Release date']
T544B	0.16492030202123978	Despicable Me 3 is an animated movie distributed by Universal Pictures released during Christmas.	C	Despicable Me 3 is an animated movie distributed by Universal Pictures in 2017.	E	010000	['Release date']
T544B	0.17014893398494182	Despicable Me 3 was a huge box office success compared to it's original budget.	E	Despicable Me 3 was not a box office success compared to it's original budget.	C	010000	['Box office', 'Budget']
T544B	0.27221038672583103	Despicable Me 3 was a huge box office success.	E	Despicable Me 3 was a box office disappointment.	C	010000	['Budget', 'Box office']
T544B	0.2921970956323524	Despicable Me 3 was shown at Annecy one month before it's nationwide release.	C	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	E	000000	['Release date']
T544B	0.3207574797630964	Despicable Me 3 is a Bollywood movie.	C	Despicable Me 3 is a Hollywood movie.	E	010000	['Country']
T544B	0.425505843881724	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, with first movie named Minions.	N	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, despite the 3 in the title.	N	000100	[]
T544B	0.5002080121251989	Despicable Me 3 ws written by same author as for first two movies of this franchise.	N	Despicable Me 3 has the same cast as the first two movies of the same title.	N	000100	[]
T544B	0.7913929808358533	Despicable Me 3 is an about 2hours long anime movie .	N	Despicable Me 3 is an animated movie.	N	000100	['Running time']
